"","hazard","exposure","housing","poverty","severity","vulnerability","pop_density","hc_wt_cnt","dist_epicenter"
"2656",-0.422959686947667,-0.0441200710780647,-1.27962527202178,-0.113430845307273,-1.2984571887306,-0.94861949259971,-0.488174225757254,-0.181153622798221,-0.0728801035011973
"2657",-0.422888687198554,-0.245238643281553,0.345177335533303,-0.0744158895883173,-1.29872179348917,0.173772555104134,-0.365487366909684,-0.181153622798221,1.03957353060469
"2658",-0.423537291342979,0.0097295555059198,0.785206619342247,0.54982339838909,-1.29900547970529,0.957606006628846,-0.46646984663152,-0.181153622798221,2.30882316828159
"2659",-0.423333256979279,-0.1442978342513,0.785206619342247,0.54982339838909,-1.29956893470503,0.957606006628846,-0.549615569673335,-0.181153622798221,1.76406672891626
"2660",-0.422351405670541,-0.307045814925703,-0.53320460656984,-0.195496786115223,-1.30003256640219,-0.511189339941422,-0.429719273856217,-0.0849407593048262,-0.811627046049505
"2661",-0.423593850095002,0.0765510679907662,0.345311521556482,0.818892056848064,-1.30003589978111,0.872392551058957,-0.269025272915538,-0.181153622798221,2.51800319985504
"2662",-0.421895603851532,-0.389455384206674,0.528899118111476,-0.950234373952078,-1.30005176894402,-0.387618313935726,-0.294042425697305,-0.181153622798221,0.33226411145522
"2663",-0.420951759117838,-0.464452442701513,-0.53320460656984,-0.195496786115223,-1.30010449758541,-0.511189339941422,-0.504460669642579,-0.181153622798221,-0.975765504681478
"2664",-0.421621847316534,-0.410711816592443,-0.53320460656984,-0.195496786115223,-1.30048453127311,-0.511189339941422,-0.570030741317165,-0.0849407593048262,-0.596596677389309
"2665",-0.423203763002352,-0.123368424556583,0.345177335533303,-0.0744158895883173,-1.30075139389731,0.173772555104134,-0.478252223871204,-0.181153622798221,0.986883511936451
"2666",-0.423759997997812,0.114921659519851,1.61426950715863,1.30725167232573,-1.30103670406726,2.10702229078749,-0.370807387657796,-0.0849407593048262,3.03236971536919
"2667",-0.421079608349822,-0.439271738023118,-0.362673138113786,-0.674438998701078,-1.3014351639329,-0.771103425181075,-0.55258564260633,-0.181153622798221,-0.945528397341032
"2668",-0.42319870455857,-0.131980004365697,0.345177335533303,-0.0744158895883173,-1.30233887999661,0.173772555104134,-0.243926524723524,-0.181153622798221,1.05702858063966
"2669",-0.423123608643837,-0.169587539404609,0.345177335533303,-0.0744158895883173,-1.30274083706107,0.173772555104134,-0.339540026451099,-0.181153622798221,1.17170475601324
"2670",-0.422211416719453,-0.23706309727156,-0.839558370626866,-0.930054224457471,-1.30324144932098,-1.2914557003182,-0.519555820538296,-0.0849407593048262,-0.126896376564661
"2671",-0.423349869585666,-0.0519686050301612,0.345177335533303,-0.0744158895883173,-1.3048839005595,0.173772555104134,-0.416778241791023,-0.181153622798221,1.51880481283439
"2672",-0.423227536050207,0.0128907713083721,-0.822717104420107,-0.110740158766756,-1.30492355209895,-0.639468525850393,-0.38032141249261,-0.0849407593048262,0.546116103940827
"2673",-0.420797846479481,-0.464343431593444,-0.362673138113786,-0.674438998701078,-1.30518753006832,-0.771103425181075,-0.545421565586633,-0.181153622798221,-1.10256851076079
"2674",-0.422714916141798,-0.31086107611026,0.345177335533303,-0.0744158895883173,-1.30525775894906,0.173772555104134,-0.351681423495871,-0.181153622798221,1.15740057028616
"2675",-0.421968095473028,-0.380843804397559,-0.53320460656984,-0.195496786115223,-1.30560941618028,-0.511189339941422,-0.524745288630013,-0.0849407593048262,-0.74000502646053
"2676",-0.42239987855614,-0.258428540765398,-1.27962527202178,-0.113430845307273,-1.30627811478467,-0.94861949259971,-0.351763018906118,-0.0849407593048262,-0.274549119803141
"2677",-0.419656834362838,-0.523861455033385,0.536423357901715,-1.32693049579464,-1.306710314428,-0.677122716065477,-0.36444294565852,-0.181153622798221,-0.547081550515768
"2678",-0.421874450111183,-0.333534610368307,-0.199255169985554,-1.24486455498669,-1.30684741032014,-1.1073340424235,-0.509943881211185,-0.181153622798221,0.311855115918224
"2679",-0.424071247892834,1.62260240542645,1.02740514213809,0.923828833691138,-1.30717777096379,1.41282265395483,-0.170311145598572,1.16582646610931,4.10122271646438
"2680",-0.422199255161413,-0.36296658876407,0.528899118111476,-0.950234373952078,-1.30732936847876,-0.387618313935726,-0.345284343332497,-0.181153622798221,0.278893600748134
"2681",-0.421325775482725,-0.430987180905056,-0.362673138113786,-0.674438998701078,-1.30820585482532,-0.771103425181075,-0.508148782185749,-0.181153622798221,-0.972007177443126
"2682",-0.422240553956209,-0.431968248978212,1.33158908931182,-0.320613712452903,-1.30830484478319,0.644134839589643,-0.264015314726365,-0.0849407593048262,0.157949327157672
"2683",-0.421792730173871,-0.40765961189806,-0.53320460656984,-0.195496786115223,-1.30858452809556,-0.511189339941422,-0.51151051308793,-0.0849407593048262,-0.570855584974225
"2684",-0.42192052753838,-0.393488656974213,-0.53320460656984,-0.195496786115223,-1.30890934735288,-0.511189339941422,-0.469129857005576,-0.181153622798221,-0.897106652636963
"2685",-0.421870650136145,-0.0318022411924624,-2.15855077493388,-1.23275646555437,-1.3089577240829,-2.41453270192911,-0.436214268511887,-0.181153622798221,0.373495332187555
"2686",-0.421099514540895,-0.450935533159772,-0.362673138113786,-0.674438998701078,-1.30959710604701,-0.771103425181075,-0.52851499658343,-0.181153622798221,-1.06042189209489
"2687",-0.42246350902895,-0.255594347653998,-1.27962527202178,-0.113430845307273,-1.31033371868567,-0.94861949259971,-0.561136841600229,-0.181153622798221,-0.211897027200613
"2688",-0.422176170040073,-0.362312554015121,-0.53320460656984,-0.195496786115223,-1.31064323146584,-0.511189339941422,-0.393572507116742,-0.181153622798221,-0.669306870503294
"2689",-0.423537676254243,-0.0338733884468445,0.345311521556482,0.818892056848064,-1.31117905788258,0.872392551058957,-0.382834551128221,-0.181153622798221,2.58772019029019
"2690",-0.42171039328659,-0.400029089528946,-0.362673138113786,-0.674438998701078,-1.31148249508109,-0.771103425181075,-0.56420482902552,-0.181153622798221,-0.71359624334257
"2691",-0.421166818049921,-0.474808136440803,0.528899118111476,-0.950234373952078,-1.31178623142898,-0.387618313935726,-0.386914321640577,-0.181153622798221,-0.0201663763353357
"2692",-0.423387508993581,-0.0189393770328248,-0.15453918282851,0.0587730963709113,-1.31211139969393,-0.0578937838349394,-0.50075623801736,-0.181153622798221,1.61704281268005
