hlcit,impl_ag,src_ag,vdc,action,desc,target,no_actions,no_hh,ave_cost
524 2 05 30 5 024,ADRA,ADRA International,Maidi,Distribution,Tarpaulin,All / Blanket,1000,1000,1700
524 2 05 30 5 024,ADRA,ADRA International,Maidi,Distribution,Tool kits and fixings,All / Blanket,1000,1000,
524 2 05 24 5 075,ADRA,IM Swedish Development Partner,Bhumlutar,Distribution,Tarpaulin,All / Blanket,465,465,1700
524 2 05 24 5 078,ADRA,IM Swedish Development Partner,Dolalghat,Distribution,Tarpaulin,All / Blanket,185,185,1700
524 2 05 27 5 038,ADRA,IM Swedish Development Partner,Ramkot,Distribution,Tarpaulin,All / Blanket,15,15,1700
524 2 05 27 5 050,ADRA,IM Swedish Development Partner,Chalnakhel,Distribution,Tarpaulin,All / Blanket,6,6,1700
524 2 05 30 5 050,ADRA,ECHO,Thakre,Distribution,Tarpaulin,All / Blanket,700,700,1700
524 2 05 29 5 013,ADRA,Japan Platform,Timure,Distribution,CGI Bundle,All / Blanket,240,120,15000
524 2 05 29 5 013,ADRA,Japan Platform,Timure,Distribution,Tool kits and fixings,All / Blanket,120,120,5000
524 2 05 29 5 013,ADRA,Japan Platform,Timure,Distribution,Construction Materials,All / Blanket,120,120,5000
524 2 05 29 5 013,ADRA,Japan Platform,Timure,Activity,Household Training,All / Blanket,30,30,1000
524 2 05 29 5 016,ADRA,Japan Platform,Briddim,Distribution,CGI Bundle,All / Blanket,380,190,15000
524 2 05 29 5 016,ADRA,Japan Platform,Briddim,Distribution,Tool kits and fixings,All / Blanket,190,190,5000
524 2 05 29 5 016,ADRA,Japan Platform,Briddim,Distribution,Construction Materials,All / Blanket,190,190,5000
524 2 05 29 5 016,ADRA,Japan Platform,Briddim,Activity,Household Training,All / Blanket,30,30,1000
524 2 05 29 5 010,ADRA,Japan Platform,Thulo Gaun,Distribution,CGI Bundle,All / Blanket,900,450,15000
524 2 05 29 5 010,ADRA,Japan Platform,Thulo Gaun,Distribution,Tool kits and fixings,All / Blanket,450,450,5000
524 2 05 29 5 010,ADRA,Japan Platform,Thulo Gaun,Distribution,Construction Materials,All / Blanket,450,450,5000
524 2 05 29 5 010,ADRA,Japan Platform,Thulo Gaun,Activity,Household Training,All / Blanket,30,30,1000
524 2 05 30 5 046,ADRA,ECHO,Tasarpu,Distribution,CGI Bundle,Targeted group,3264,1632,15000
524 2 05 30 5 046,ADRA,ECHO,Tasarpu,Distribution,Tool kits and fixings,Targeted group,1632,1632,5000
524 2 05 30 5 049,ADRA,ECHO,Naubise,Distribution,Tarpaulin,Targeted group,660,660,
524 2 05 30 5 049,ADRA,ECHO,Naubise,Distribution,Tool kits and fixings,Targeted group,660,660,
