hlcit,impl_ag,src_ag,vdc,action,desc,target,no_actions,no_hh,ave_cost
,AWO International e. V,,Syaphru,Distribution,Tarpaulin,,50,50,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,4,4,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,3,3,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,6,6,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,1,1,
,AWO International e. V,,Syaphru,Distribution,Tool kits and fixings,,10,10,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,32,0,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,9,0,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,3,0,
,AWO International e. V,,Syaphru,Distribution,CGI Bundle (72ft/bundle),,37,0,
,AWO International e. V,,Syaphru,Distribution,Construction Materials,,32,0,
,AWO International e. V,,Syaphru,Distribution,Construction Materials,,9,0,
,AWO International e. V,,Syaphru,Distribution,Construction Materials,,3,0,
,AWO International e. V,,Syaphru,Distribution,Construction Materials,,37,0,
,AWO International e. V,,Syaphru,Distribution,Blankets,,837,837,
,AWO International e. V,,Syaphru,Distribution,Blankets,,1203,1203,
,AWO International e. V,,Syaphru,Distribution,Blankets,,967,967,
,AWO International e. V,,Syaphru,Distribution,Household kits (excluding tarpaulins),,837,837,
,AWO International e. V,,Syaphru,Distribution,Household kits (excluding tarpaulins),,1203,1203,
,AWO International e. V,,Syaphru,Distribution,Household kits (excluding tarpaulins),,967,967,
,AWO International e. V,,Syaphru,Distribution,Tarpaulin,,837,837,
,AWO International e. V,,Syaphru,Distribution,Tarpaulin,,1203,1203,
,AWO International e. V,,Syaphru,Distribution,Tarpaulin,,967,967,
,AWO International e. V,,Syaphru,Distribution,Tarpaulin,,934,934,
,AWO International e. V,,Syaphru,Distribution,Household kits (excluding tarpaulins),,100,0,
524 3 07 36 5 047,Benegas,IOM,Laprak,Distribution,Tarpaulin,Targeted group,160,160,
524 3 07 36 5 044,Benegas,IOM,Gumda,Distribution,Tarpaulin,Targeted group,40,40,
524 2 05 30 5 012,CARE,,Mulpani,Distribution,CGI Bundle (72ft/bundle),Targeted group,100,0,
524 2 05 30 5 012,CARE,,Mulpani,Distribution,CGI Bundle (72ft/bundle),Targeted group,248,0,
524 2 05 30 5 012,CARE,,Mulpani,Distribution,CGI Bundle (72ft/bundle),Targeted group,292,0,
524 2 05 30 5 012,CARE,,Mulpani,Distribution,CGI Bundle (72ft/bundle),Targeted group,164,0,
524 2 05 30 5 012,CARE,,Mulpani,Distribution,CGI Bundle (72ft/bundle),Targeted group,128,0,
524 2 05 30 5 012,CARE,,Mulpani,Distribution,CGI Bundle (72ft/bundle),Targeted group,110,0,
524 2 05 30 5 012,CARE,,Mulpani,Distribution,CGI Bundle (72ft/bundle),Targeted group,308,0,
524 2 05 30 5 012,CARE,,Mulpani,Distribution,CGI Bundle (72ft/bundle),Targeted group,208,0,
524 2 05 30 5 012,CARE,,Mulpani,Distribution,CGI Bundle (72ft/bundle),Targeted group,238,0,
524 2 05 30 5 013,CARE,,Phulkharka,Distribution,CGI Bundle (72ft/bundle),Targeted group,308,145,
524 2 05 30 5 013,CARE,,Phulkharka,Distribution,CGI Bundle (72ft/bundle),Targeted group,344,153,
524 2 05 30 5 013,CARE,,Phulkharka,Distribution,CGI Bundle (72ft/bundle),Targeted group,248,118,
524 2 05 30 5 013,CARE,,Phulkharka,Distribution,CGI Bundle (72ft/bundle),Targeted group,330,141,
524 2 05 30 5 013,CARE,,Phulkharka,Distribution,CGI Bundle (72ft/bundle),Targeted group,246,140,
524 2 05 30 5 013,CARE,,Phulkharka,Distribution,CGI Bundle (72ft/bundle),Targeted group,178,83,
524 2 05 30 5 013,CARE,,Phulkharka,Distribution,CGI Bundle (72ft/bundle),Targeted group,136,68,
524 2 05 30 5 013,CARE,,Phulkharka,Distribution,CGI Bundle (72ft/bundle),Targeted group,240,108,
524 2 05 30 5 013,CARE,,Phulkharka,Distribution,CGI Bundle (72ft/bundle),Targeted group,194,95,
524 3 07 36 5 010,CARE,,Bakrang,Distribution,Tarpaulin,,264,264,
524 3 07 36 5 026,CARE,,Chhoprak,Distribution,Tarpaulin,,149,149,
524 3 07 36 5 026,CARE,,Chhoprak,Distribution,Tarpaulin,,18,18,
524 3 07 36 5 026,CARE,,Chhoprak,Distribution,Tarpaulin,,82,82,
524 3 07 36 5 033,CARE,,Deurali,Distribution,Tarpaulin,,90,90,
524 3 07 36 5 033,CARE,,Deurali,Distribution,Tarpaulin,,117,117,
524 3 07 36 5 028,CARE,,Gangkhu,Distribution,Tarpaulin,,82,82,
524 3 07 36 5 028,CARE,,Gangkhu,Distribution,Tarpaulin,,106,106,
524 3 07 36 5 066,CARE,,Ghyachok,Distribution,CGI Bundle (72ft/bundle),All / Blanket,336,0,
524 3 07 36 5 066,CARE,,Ghyachok,Distribution,Tarpaulin,All / Blanket,336,0,
524 3 07 36 5 066,CARE,,Ghyachok,Distribution,Tool kits and fixings,All / Blanket,336,0,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,47,47,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,86,86,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,70,70,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,48,48,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,70,70,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,58,58,
524 3 07 36 5 044,CARE,,Gumda,Distribution,Tarpaulin,All / Blanket,140,70,
524 3 07 36 5 044,CARE,,Gumda,Distribution,Tarpaulin,All / Blanket,120,60,
524 3 07 36 5 044,CARE,,Gumda,Distribution,Tarpaulin,All / Blanket,120,60,
524 3 07 36 5 044,CARE,,Gumda,Distribution,Tarpaulin,All / Blanket,896,,
524 3 07 36 5 044,CARE,,Gumda,Distribution,CGI Bundle (72ft/bundle),All / Blanket,640,320,
524 3 07 36 5 044,CARE,,Gumda,Distribution,Tarpaulin,All / Blanket,640,640,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 030,CARE,,Khoplang,Distribution,Tarpaulin,,100,100,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Tool kits and fixings,All / Blanket,120,620,
524 3 07 36 5 047,CARE,,Laprak,Distribution,CGI Bundle (72ft/bundle),All / Blanket,1240,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Tarpaulin,All / Blanket,1240,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,131,131,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,99,99,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,189,189,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,150,150,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,118,118,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,147,147,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,215,215,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,183,183,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,CGI Bundle (72ft/bundle),Targeted group,365,181,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Tarpaulin,Targeted group,365,365,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Tool kits and fixings,Targeted group,0,0,
524 3 07 36 5 035,CARE,,Simjung,Distribution,Tarpaulin,,243,243,
524 3 07 36 5 025,CARE,,Virkot,Distribution,Tarpaulin,,100,100,
524 3 07 36 5 065,CARE,,Warpak,Distribution,CGI Bundle (72ft/bundle),Targeted group,300,0,
524 3 07 36 5 065,CARE,,Warpak,Distribution,Tarpaulin,Targeted group,300,0,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Construction Materials,Targeted group,20,2,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Construction Materials,Targeted group,490,49,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Construction Materials,Targeted group,510,51,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Construction Materials,Targeted group,100,10,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Construction Materials,Targeted group,170,17,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Construction Materials,Targeted group,320,32,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Construction Materials,Targeted group,270,27,
