lat,lon,depth,magn
28.0,85.7,10.0,5.5
28.1,84.8,10.0,6.6
28.0,85.7,10.0,5.7
27.8,85.6,10.0,5.0
27.9,85.5,10.0,5.0
27.6,85.7,5.0,4.9
27.8,85.7,10.0,5.0
27.6,84.9,10.0,5.6
28.1,84.8,20.0,5.0
27.9,85.0,10.0,4.4
27.3,85.1,10.0,5.7
28.3,87.3,5.0,5.8
27.6,85.3,10.0,5.6
27.7,85.8,5.0,5.0
