lon,lat,name
83.6046689,28.13185819,Chhisti
83.04440163,28.35993483,Taman
83.33593546,28.28071853,Ranasinkiteni
83.49611459,28.30468532,Rajkut
83.44551492,28.30454261,Pandavkhani
83.49440518,28.27850061,Palakot
83.2777685,28.31173613,Tara
83.24438354,28.46326776,Nisi
83.2384405,28.25642328,Tangram
83.09752993,28.32950988,Khunga
83.14096672,28.27373435,Heel
83.13231478,28.29958978,Bhinggithe
83.45850664,28.27751745,Bhimpokhara
83.04702047,28.52570117,Arjewa
83.19267273,28.43122246,Sunkhani
83.5864469,28.27907949,Darling
83.17130044,28.33582067,Devisthan
83.2122293,28.2926411,Argal
83.52557464,28.29157215,Malikathota
83.39685151,28.28255949,Amarbhumi
83.26303763,28.39351627,Akhikarichaur
83.64082734,28.22612949,Lekhani
83.4633337,28.15028398,Batakachaur
83.60928769,28.23893368,Dagatundada
83.5604565,28.19070201,Damek
83.51079868,28.22669693,Bhakunde
83.58070877,28.24444637,Bihunkot
83.62881669,28.16621965,Binamare
83.66701716,28.21439714,Andheri
83.55059607,28.27863912,KalikaN.P.
83.487087,28.20206235,Dhudhilabhati
83.27735786,28.25531497,Gwalichaur
83.49658501,28.14906423,Hugdisheer
83.38829083,28.18700752,Kandebas
83.27832265,28.21635953,Malma
83.52892922,28.14083746,Dhullubaskot
83.37961483,28.22084439,Narethanti
83.55943026,28.17026569,Paiyunthanthap
83.55969779,28.14582494,Rangkhani
83.57624107,28.21447106,Rayadanda
83.32963826,28.20629513,Righa
83.6372233,28.20129239,Amalachaur
83.41606362,28.24324382,Jaljala
83.58182046,28.10713271,Sisakhani
83.60260479,28.16261491,Sarkuwa
83.53794705,28.23063508,Singana
83.43278549,28.14692995,Salyan
83.43817755,28.19621742,Hatiya
83.23732472,28.35216373,Boharagaun
83.12805249,28.42429056,Bongadovan
82.95994478,28.45286897,Bowang
83.37768014,28.33348619,Burtiwang
83.56447525,28.30485825,Dhamja
83.62622503,28.14700099,DhulluGaidi
83.49900174,28.25446353,Harichaur
83.61851505,28.19476891,Kusmishera
83.46097438,28.23268755,Paiyunpata
83.55520897,28.24982571,Tityang
83.41762105,28.16621209,Sukhaura
83.31189667,28.23668047,Resh
84.06236831,28.99262133,Surkhang
83.86600042,28.79528313,Muktinath
83.79035006,29.04010718,Dhami
83.78557527,28.9264801,Chhusang
83.93812918,29.275409,Chhonhup
83.77407698,29.13040802,Charang
83.64365616,28.8559859,Kagbeni
83.76809168,28.7639107,Jomsom
83.8735628,29.20216654,Lomanthang
83.6319174,28.73677874,Tukuche
83.66422097,28.78517173,Marpha
83.88837704,28.83161468,Jhong
83.60544705,28.61404134,Lete
83.67059796,28.63461824,Kunjo
83.58687007,28.68991129,Kowang
84.08546819,29.19747936,Chhoser
83.47749171,28.40663302,Kuhun
83.70270686,28.45817927,Shikha
83.61598514,28.49216894,Tatopani
83.64206656,28.38158866,Ramche
83.35851016,28.47199385,Takam
83.51266036,28.35968171,Singa
83.58764296,28.31489196,Ratnechaur
83.58613436,28.41268011,RakhuBhagawati
83.31419829,28.42922842,Okharbot
83.64242748,28.41785979,HisthanMandali
83.2082728,28.64276242,GurjaKhani
83.48323769,28.45125312,Pakhapani
83.52785428,28.36739977,Pulachaur
83.61140029,28.46467203,Dowa
83.68604012,28.42863549,Dhar
83.37876906,28.38878846,Niskot
83.41770958,28.42313866,Darwang
83.31031321,28.50358106,Muna
83.19412841,28.53554643,Lulang
83.5690788,28.3968398,RakhuPiple
83.61643688,28.54136502,Dana
83.51355151,28.41906275,Jhin
83.41029179,28.4533164,Bima
83.4667574,28.35336469,Baranja
83.55617157,28.34685923,Arthunge
83.45743057,28.39558917,Babiyachaur
83.34388538,28.44859198,Devisthan
83.53166857,28.39765439,Patalekhet
83.75470962,28.57911206,Narchyang
83.3976257,28.65884876,Mudi
83.3978502,28.47869621,Marang
83.43969173,28.50099125,Malkwang
83.50204755,28.58941648,Kuinemangale
83.55173968,28.37592661,Dhatan
83.54032689,28.43379158,Dagnam
83.5554154,28.51271848,Chimkhola
83.51304011,28.33270041,Bhakilmi
83.58109024,28.45122502,Bagarkhola
83.42001323,28.37545866,Arman
83.32465265,28.38777215,Room
83.5571097,28.32564206,Jyamrukot
83.68545161,28.14452422,ThanaMaulo
83.58671448,28.06705569,BihadiBarachaur
83.5765569,28.04295831,BihadiRanipani
83.63959917,28.08994668,Bhoksing
83.71617718,28.14906331,Bhangara
83.71029174,28.20604376,BitalawaPipaltari
83.643736,28.04574285,Behulibans
83.65935123,28.02630774,Tribeni
83.70650971,28.09912449,Pakhapani
83.6801483,28.06351788,Saraukhola
83.74580258,28.26271625,Tilahar
83.72998554,28.20325608,Thulipokhari
83.63997623,28.33725693,Salija
83.61916826,28.056242,Urampokhara
83.67438337,28.08723718,Balakot
83.59842178,28.04638108,Bahakithanti
83.62080038,28.28497248,Nagliwang
83.61120551,28.09280778,Bachchha
83.61544197,28.35900533,Lekhfant
83.67997465,28.30595652,Kyang
83.66244076,28.26167857,Khurkot
83.72279583,28.17212709,Thapathana
83.62225139,28.31495874,Dhairing
83.63893878,28.11445476,Pangrang
83.7312666,28.22857118,Pakuwa
83.67830212,28.10796561,LunkhuDeurali
83.66677841,28.15239246,Limithana
83.67798083,28.04028881,Huwas
83.69575878,28.1238537,Falamkhani
83.70054067,28.06935774,Bhorle
83.77707231,28.21274973,Arthar Dadakharka
83.71366475,28.30648361,Deurali
83.62755026,28.02171793,Taklak
83.63534599,28.2640127,Pang
83.71298704,28.34608255,Bhuktangle
83.67952871,28.22730577,Shivalaya
83.59874914,28.37840842,Banskharka
83.64875164,28.29479251,Banou
83.69521976,28.17969118,ShankarPokhari
83.71532606,28.27798433,Bajung
83.58467789,28.35175395,MajhphantMallaj
83.60755554,28.02799531,Saligram
83.76375655,28.23214607,Ramjadeurali
83.74736538,28.289216,Deupurkot
