vdc,hazard,exposure,housing,poverty,vulnerability,severity,sev_norm,sev_cat
PatharaBudharampur,0.11354314,0.071474484,4.379973535,9.136141636,6.758057585,0.379936723,0.77922025,Medium-Low
Tengraha,0.132891931,0.060966546,4.379973535,9.136141636,6.758057585,0.379726317,0.778788724,Medium-Low
Sonbarsa,0.135940319,0.073381291,4.845363346,6.065323565,5.455343456,0.378952907,0.777202522,Medium-Low
Avab,0.16626468,0.053903161,4.928831353,7.200854701,6.064843027,0.378801131,0.77689124,Medium-Low
Musauli,0.162443838,0.053206049,4.208451337,8.351648352,6.280049845,0.378624849,0.776529701,Medium-Low
Narayani,0.128084901,0.092746652,5.60905413,3.507326007,4.558190069,0.378323109,0.775910856,Medium-Low
BairgiyaBanchauri,0.120394612,0.069372896,4.32799056,8.623321123,6.475655842,0.378175636,0.7756084,Medium-Low
GarudaBairiya,0.165805994,0.048264755,4.379973535,9.136141636,6.758057585,0.378167388,0.775591483,Medium-Low
Makhanaha,0.119189233,0.072643172,4.783111544,7.698412698,6.240762121,0.378056304,0.77536366,Medium-Low
Lipanimal,0.110268762,0.080793231,4.928831353,7.200854701,6.064843027,0.378049801,0.775350322,Medium-Low
Ratauli,0.138685748,0.059951633,4.32799056,8.623321123,6.475655842,0.377605985,0.774440091,Medium-Low
Godar,0.107613142,0.08003461,4.783111544,7.698412698,6.240762121,0.377392783,0.774002831,Medium-Low
SingyahiMaidan,0.09027917,0.095340319,4.783111544,7.698412698,6.240762121,0.377311981,0.773837112,Medium-Low
Mahadaiyatapanpur,0.144321775,0.057419476,4.32799056,8.623321123,6.475655842,0.37718836,0.773583575,Medium-Low
Sinhasani,0.156808708,0.056004749,4.928831353,7.200854701,6.064843027,0.376245688,0.771650229,Medium-Low
Gardi,0.141990916,0.094735472,5.37928052,2.533577534,3.956429027,0.376148084,0.771450052,Medium-Low
Suri,0.253531218,0.03130853,7.531331947,5.860805861,6.696068904,0.375985717,0.771117048,Medium-Low
Jatahara,0.085899156,0.091147395,4.379973535,9.136141636,6.758057585,0.375420815,0.769958479,Medium-Low
PokharibhindaSamgrampur,0.151224214,0.054026181,4.32799056,8.623321123,6.475655842,0.375407652,0.769931482,Medium-Low
Dahiyar,0.118692678,0.073412045,4.928831353,7.200854701,6.064843027,0.375264031,0.769636928,Medium-Low
Hathiyol,0.095808033,0.0877541,4.208451337,8.351648352,6.280049845,0.375155062,0.76941344,Medium-Low
Sohadawa,0.200849341,0.041765211,4.208451337,8.351648352,6.280049845,0.374871761,0.768832413,Medium-Low
Mithileswornikas,0.114299864,0.073340284,4.783111544,7.698412698,6.240762121,0.374003193,0.767051048,Medium-Low
Gadahiyabairi,0.121893604,0.068306725,4.208451337,8.351648352,6.280049845,0.373940488,0.766922446,Medium-Low
Auraiya,0.069665755,0.111045842,4.379973535,9.136141636,6.758057585,0.37392214,0.766884816,Medium-Low
Madhubangoth,0.136404653,0.060915288,4.208451337,8.351648352,6.280049845,0.373685453,0.766399388,Medium-Low
Jhitakaiya(Uttar),0.129635856,0.066297402,4.928831353,7.200854701,6.064843027,0.373548564,0.766118641,Medium-Low
RamnagarMirchaiya,0.068166543,0.138161449,3.056886828,7.973137973,5.515012401,0.373108276,0.765215644,Medium-Low
Gedahiguthi,0.15784822,0.048377523,4.379973535,9.136141636,6.758057585,0.372307457,0.763573229,Medium-Low
Kakadi,0.207887985,0.040914324,4.928831353,7.200854701,6.064843027,0.372255776,0.763467234,Medium-Low
Alampu,0.416604536,0.01848372,7.531331947,5.860805861,6.696068904,0.372201194,0.763355291,Medium-Low
BageswariTitrona,0.137712451,0.068357983,4.845363346,6.065323565,5.455343456,0.371701958,0.762331398,Medium-Low
Bhuchakrapur,0.155058836,0.053062526,4.783111544,7.698412698,6.240762121,0.371684133,0.76229484,Medium-Low
SakhuwaPrasauni,0.136050874,0.068870566,4.845363346,6.065323565,5.455343456,0.371123989,0.761146029,Medium-Low
Basantapatti,0.095391845,0.079275988,4.379973535,9.136141636,6.758057585,0.371100551,0.761097958,Medium-Low
Saruatha,0.098191949,0.076374772,4.379973535,9.136141636,6.758057585,0.370068879,0.75898208,Medium-Low
Basahiya,0.104547449,0.077481949,4.783111544,7.698412698,6.240762121,0.36975768,0.758343837,Medium-Low
Dhodeni,0.408807666,0.026910574,5.97793252,3.199023199,4.58847786,0.369575815,0.757970846,Medium-Low
DevpuraRupetha,0.099347843,0.081336569,4.783111544,7.698412698,6.240762121,0.369454227,0.757721478,Medium-Low
Bachhanpurwa,0.166733426,0.049823005,4.928831353,7.200854701,6.064843027,0.369338051,0.75748321,Medium-Low
Balara,0.1019894,0.078384094,4.208451337,8.351648352,6.280049845,0.368905694,0.75659648,Medium-Low
Harpur,0.146175488,0.062934862,4.845363346,6.065323565,5.455343456,0.36886092,0.756504652,Medium-Low
RamnagarBahaur,0.116775915,0.068378487,4.208451337,8.351648352,6.280049845,0.368761255,0.756300248,Medium-Low
Sunwal,0.03668113,0.299522376,5.60905413,3.507326007,4.558190069,0.368599553,0.755968609,Medium-Low
Alau,0.104307533,0.08781561,4.845363346,6.065323565,5.455343456,0.368329496,0.755414743,Medium-Low
Maryadpur,0.132088067,0.055430656,4.379973535,9.136141636,6.758057585,0.367123201,0.752940727,Medium-Low
UdayapurDhurmi,0.122737358,0.073432549,4.845363346,6.065323565,5.455343456,0.366349686,0.751354311,Medium-Low
Sikhauna,0.153792191,0.050673892,4.208451337,8.351648352,6.280049845,0.365786112,0.750198464,Medium-Low
Nainhi,0.087696737,0.086144591,4.32799056,8.623321123,6.475655842,0.365733776,0.750091127,Medium-Low
Amritgang,0.085483508,0.093628294,4.928831353,7.200854701,6.064843027,0.364784466,0.748144167,Medium-Low
Tarkughat,0.356437616,0.029658015,5.97793252,3.199023199,4.58847786,0.364696352,0.747963451,Medium-Low
Bishunpurwa,0.149264034,0.05352385,4.928831353,7.200854701,6.064843027,0.364564208,0.747692435,Medium-Low
NarkatiyaGuthi,0.088574771,0.080895748,4.379973535,9.136141636,6.758057585,0.364490215,0.74754068,Medium-Low
Saunaraniya,0.116591699,0.061438122,4.379973535,9.136141636,6.758057585,0.3644538,0.747465997,Medium-Low
Bhatauda,0.120584832,0.066102621,4.928831353,7.200854701,6.064843027,0.364286974,0.74712385,Medium-Low
Sakhuawa,0.143922649,0.049248913,4.379973535,9.136141636,6.758057585,0.363174957,0.744843191,Medium-Low
MadiKalyanpur,0.171483036,0.07008026,5.37928052,2.533577534,3.956429027,0.362276433,0.743000388,Medium-Low
JingadawaBelbichwa,0.111165511,0.063283418,4.379973535,9.136141636,6.758057585,0.362265766,0.742978511,Medium-Low
Bharte,0.450340298,0.022953438,5.97793252,3.199023199,4.58847786,0.361980964,0.742394405,Medium-Low
Bindhi,0.106703403,0.07119769,4.783111544,7.698412698,6.240762121,0.361932237,0.742294471,Medium-Low
Karaiya,0.143233715,0.054467001,4.928831353,7.200854701,6.064843027,0.361686886,0.741791275,Medium-Low
Narayanpur,0.209941638,0.035767997,4.208451337,8.351648352,6.280049845,0.361286802,0.740970735,Medium-Low
Rupakot,0.205044313,0.043713024,6.434894278,4.044566545,5.239730411,0.36079112,0.739954129,Medium-Low
LipaniBirta,0.120613583,0.071125928,4.845363346,6.065323565,5.455343456,0.360370103,0.739090657,Medium-Low
Bagahi,0.127264512,0.067353322,4.845363346,6.065323565,5.455343456,0.360271144,0.738887699,Medium-Low
Bulung,0.332804486,0.020944115,7.531331947,5.860805861,6.696068904,0.360045207,0.738424321,Medium-Low
Devadaha,0.03000693,0.289239974,7.805050193,2.945665446,5.375357819,0.359994408,0.738320135,Medium-Low
Jhunkhunwa,0.095648466,0.071915305,4.379973535,9.136141636,6.758057585,0.359561962,0.737433222,Medium-Low
Batraul,0.147851467,0.05003829,4.208451337,8.351648352,6.280049845,0.359498483,0.737303033,Medium-Low
Basantpur,0.104636396,0.081326317,4.845363346,6.065323565,5.455343456,0.359400485,0.737102046,Medium-Low
Orang,0.313109526,0.022112803,7.531331947,5.860805861,6.696068904,0.359241635,0.736776257,Medium-Low
Banjariya,0.124091289,0.061499631,4.928831353,7.200854701,6.064843027,0.359041342,0.736365472,Medium-Low
Birtiprastoka,0.159997859,0.042780124,4.379973535,9.136141636,6.758057585,0.358971,0.736221207,Medium-Low
Khutauna,0.146443734,0.05016131,4.208451337,8.351648352,6.280049845,0.358647315,0.735557354,Medium-Low
Motipur,0.175452977,0.041857475,4.208451337,8.351648352,6.280049845,0.358618168,0.735497576,Medium-Low
Jhule,0.298259329,0.022973941,7.531331947,5.860805861,6.696068904,0.358000104,0.734229975,Medium-Low
Jhitakaiya(Dakshin),0.083218563,0.090583555,4.928831353,7.200854701,6.064843027,0.357571623,0.733351194,Medium-Low
GanjBhawanipur,0.115506702,0.065149218,4.928831353,7.200854701,6.064843027,0.357364975,0.732927375,Medium-Low
Khopawa,0.144669236,0.051832328,4.928831353,7.200854701,6.064843027,0.356942962,0.732061861,Medium-Low
Lohana,0.102557554,0.07101316,4.783111544,7.698412698,6.240762121,0.356873835,0.731920087,Medium-Low
Basadilwa,0.126203176,0.065713058,4.845363346,6.065323565,5.455343456,0.356326417,0.730797375,Medium-Low
TriyugaN. P.,0.018993979,0.717615303,2.563173352,4.041514042,3.302343697,0.355721384,0.729556501,Medium-Low
Sonigama,0.101562225,0.070756869,4.783111544,7.698412698,6.240762121,0.355287134,0.728665889,Medium-Low
KachuriThera,0.119887242,0.059767103,4.783111544,7.698412698,6.240762121,0.354942171,0.727958396,Medium-Low
Karjanha,0.105699335,0.07654905,3.056886828,7.973137973,5.515012401,0.35469319,0.727447756,Medium-Low
Ramban,0.139618672,0.050745654,4.208451337,8.351648352,6.280049845,0.354352212,0.726748436,Medium-Low
Maniyari,0.119993712,0.067937666,4.845363346,6.065323565,5.455343456,0.35429395,0.726628946,Medium-Low
Chiti,0.182819795,0.052960009,5.97793252,3.199023199,4.58847786,0.35417125,0.726377297,Medium-Low
Dhaubadi,0.15877807,0.061356108,5.60905413,3.507326007,4.558190069,0.354117116,0.726266273,Medium-Low
Pyarjung,0.54227648,0.017827614,5.97793252,3.199023199,4.58847786,0.353992625,0.726010952,Medium-Low
Sakraul,0.138021717,0.050991693,4.208451337,8.351648352,6.280049845,0.353565583,0.725135123,Medium-Low
Balirampur,0.099569248,0.073053238,4.928831353,7.200854701,6.064843027,0.353341586,0.724675722,Medium-Low
Sihorwa,0.153408169,0.047372862,4.928831353,7.200854701,6.064843027,0.353236758,0.724460728,Medium-Low
Kumarwarti,0.16709278,0.057747529,5.60905413,3.507326007,4.558190069,0.352989001,0.723952598,Medium-Low
Jowaha(Jokaha),0.075664264,0.085714022,4.379973535,9.136141636,6.758057585,0.352577715,0.723109083,Medium-Low
Marchaijhitakaiya,0.073648336,0.095114783,4.783111544,7.698412698,6.240762121,0.352275843,0.722489968,Medium-Low
Bahuarbamatha,0.111832162,0.071597504,4.845363346,6.065323565,5.455343456,0.352178009,0.722289318,Medium-Low
Satosar,0.118638835,0.058895713,4.783111544,7.698412698,6.240762121,0.35197844,0.721880017,Medium-Low
Betali,0.14349688,0.045958134,7.160041941,6.059218559,6.60963025,0.351933551,0.721787953,Medium-Low
MajhoraBishnupur,0.09814988,0.068429745,4.32799056,8.623321123,6.475655842,0.351673372,0.721254346,Medium-Low
Prasurmpur,0.100449323,0.071279703,4.928831353,7.200854701,6.064843027,0.351488257,0.720874691,Medium-Low
Belhi,0.189221639,0.036444606,4.208451337,8.351648352,6.280049845,0.351174023,0.720230221,Medium-Low
Buniyad,0.123232005,0.057932058,4.928831353,7.200854701,6.064843027,0.351145693,0.720172119,Medium-Low
Chilime,0.459759929,0.01412677,5.456937224,7.857142857,6.657040041,0.350982167,0.719836741,Medium-Low
Besishahar,0.059303923,0.158305936,5.97793252,3.199023199,4.58847786,0.350549824,0.718950039,Medium-Low
Akolawa,0.086498087,0.073668337,4.379973535,9.136141636,6.758057585,0.350512156,0.718872785,Medium-Low
Mahadevpatti,0.107058515,0.073545317,4.845363346,6.065323565,5.455343456,0.350213416,0.718260093,Medium-Low
Pachok,0.368412186,0.025311317,5.97793252,3.199023199,4.58847786,0.349761865,0.717333997,Medium-Low
Pancharukhi,0.136515885,0.057286204,4.845363346,6.065323565,5.455343456,0.349423233,0.71663949,Medium-Low
Bagchaura,0.112644053,0.060361699,4.783111544,7.698412698,6.240762121,0.348794089,0.715349166,Medium-Low
Bisrampur,0.106809907,0.072673927,4.845363346,6.065323565,5.455343456,0.348554548,0.714857886,Medium-Low
Pheta,0.097883649,0.071269451,4.928831353,7.200854701,6.064843027,0.348453136,0.714649896,Medium-Low
Halkhori,0.105413336,0.061848187,4.32799056,8.623321123,6.475655842,0.348205344,0.714141695,Medium-Low
Chakkar,0.099513796,0.06777364,4.783111544,7.698412698,6.240762121,0.347851523,0.713416037,Medium-Low
DharanN. P.,0.006360461,1.191046621,5.040702255,6.062271062,5.551486659,0.347756739,0.713221643,Medium-Low
Baramajhiya,0.103573213,0.06497494,4.783111544,7.698412698,6.240762121,0.347597775,0.71289562,Medium-Low
Dulegauda,0.049796712,0.160889351,6.434894278,4.044566545,5.239730411,0.347546007,0.712789446,Medium-Low
Tejapakar,0.10846638,0.057265701,4.379973535,9.136141636,6.758057585,0.34753926,0.712775609,Medium-Low
Gopalpur,0.129310276,0.051955348,4.783111544,7.698412698,6.240762121,0.347403062,0.712496278,Medium-Low
Debadiha,0.093384726,0.071843543,4.783111544,7.698412698,6.240762121,0.347243193,0.712168399,Medium-Low
BahauriPidari,0.125358744,0.0606795,4.845363346,6.065323565,5.455343456,0.346209973,0.710049347,Medium-Low
TribhuwanNagar,0.178715034,0.036957188,4.208451337,8.351648352,6.280049845,0.346157995,0.709942744,Medium-Low
BhaluyeeArwaliya,0.099008281,0.068932076,4.928831353,7.200854701,6.064843027,0.34591613,0.709446698,Medium-Low
Prasona,0.161297339,0.04194974,4.928831353,7.200854701,6.064843027,0.344925536,0.707415068,Medium-Low
Bhutahipaterwa,0.132288031,0.049699986,4.783111544,7.698412698,6.240762121,0.344909228,0.707381622,Medium-Low
BairgiyaLaxminiya,0.168636472,0.037315996,4.32799056,8.623321123,6.475655842,0.344120148,0.705763281,Medium-Low
BisunpurwaManpur,0.146492807,0.04113986,4.379973535,9.136141636,6.758057585,0.344059589,0.705639079,Medium-Low
Duhabi,0.090551894,0.071976815,4.783111544,7.698412698,6.240762121,0.343908252,0.705328699,Medium-Low
Nichuta,0.109844581,0.067865904,4.845363346,6.065323565,5.455343456,0.343888347,0.705287874,Medium-Low
MahendraAdarsha,0.126742549,0.052826738,4.928831353,7.200854701,6.064843027,0.34371509,0.704932538,Medium-Low
Bhawanipur,0.184641105,0.034886355,4.208451337,8.351648352,6.280049845,0.343280416,0.704041056,Medium-Low
JagaranathpurSira,0.106975739,0.069106354,4.845363346,6.065323565,5.455343456,0.342932351,0.703327202,Medium-Low
Ramgadhawa,0.107494382,0.068357983,4.845363346,6.065323565,5.455343456,0.342241262,0.701909834,Medium-Low
RajpurTulsi,0.099009369,0.059490309,4.379973535,9.136141636,6.758057585,0.341440317,0.700267158,Medium-Low
KalyanpurJabadi,0.073023928,0.098251787,3.056886828,7.973137973,5.515012401,0.340761651,0.698875267,Medium-Low
Belghari,0.170533692,0.039427835,5.191504838,6.547619048,5.869561943,0.340465365,0.698267609,Medium-Low
Sonaul,0.141228819,0.04300566,4.32799056,8.623321123,6.475655842,0.34007724,0.697471596,Medium-Low
Bhawanipur,0.113491881,0.063488451,4.845363346,6.065323565,5.455343456,0.34001171,0.697337198,Medium-Low
Purainiya,0.095357261,0.067927414,4.928831353,7.200854701,6.064843027,0.339943028,0.697196338,Medium-Low
Sahorawa,0.102527359,0.059131501,4.32799056,8.623321123,6.475655842,0.339871028,0.69704867,Medium-Low
PipraBhagwanpur,0.08993055,0.064585377,4.379973535,9.136141636,6.758057585,0.339850395,0.697006354,Medium-Low
Itiyahi,0.094687259,0.068265719,4.928831353,7.200854701,6.064843027,0.339707075,0.696712416,Medium-Low
Mahuwa(Pra.Ko),0.105886709,0.059275024,4.783111544,7.698412698,6.240762121,0.339612452,0.696518352,Medium-Low
Paudeswor,0.100749756,0.062227498,4.783111544,7.698412698,6.240762121,0.339485574,0.696258136,Medium-Low
Dohari,0.13048471,0.049433443,4.928831353,7.200854701,6.064843027,0.339468918,0.696223974,Medium-Low
Inaruwa,0.124425058,0.046398955,4.379973535,9.136141636,6.758057585,0.339166263,0.695603254,Medium-Low
Bhalohiya(Pipra),0.115441366,0.049997283,4.379973535,9.136141636,6.758057585,0.339138101,0.695545495,Medium-Low
Namadi,0.144466912,0.040811807,7.160041941,6.059218559,6.60963025,0.339034422,0.695332858,Medium-Low
BadakiFulbariya,0.088084702,0.072858457,4.928831353,7.200854701,6.064843027,0.33889618,0.695049334,Medium-Low
Mahinathpur,0.168253469,0.03678291,4.208451337,8.351648352,6.280049845,0.338733176,0.694715026,Medium-Low
BahedaBala,0.086977042,0.071587252,4.783111544,7.698412698,6.240762121,0.338708414,0.69466424,Medium-Low
Dudhouli,0.075344704,0.087836113,5.191504838,6.547619048,5.869561943,0.33867035,0.694586175,Medium-Low
Rasanalu,0.128973612,0.045353287,7.160041941,6.059218559,6.60963025,0.338139261,0.693496953,Medium-Low
Dhabouli,0.082765653,0.074755011,4.783111544,7.698412698,6.240762121,0.337994289,0.693199628,Medium-Low
Mohoriyakot,0.361746635,0.023260987,5.97793252,3.199023199,4.58847786,0.337987337,0.693185369,Medium-Low
ThadiJhijha,0.08229576,0.074755011,4.783111544,7.698412698,6.240762121,0.337353433,0.691885281,Medium-Low
Pathera,0.123296735,0.051319746,4.928831353,7.200854701,6.064843027,0.337301713,0.691779207,Medium-Low
Jhouwaguthi,0.107558295,0.065220979,4.845363346,6.065323565,5.455343456,0.336990591,0.691141121,Medium-Low
FulahattaParikauli,0.097050773,0.060884533,4.32799056,8.623321123,6.475655842,0.336974144,0.691107389,Medium-Low
KajaraRamaul,0.113844926,0.053493095,4.783111544,7.698412698,6.240762121,0.336214427,0.689549271,Medium-Low
Tandi,0.068747419,0.093802572,5.191504838,6.547619048,5.869561943,0.335757414,0.688611972,Medium-Low
Kanakpatti,0.104992478,0.057614257,4.783111544,7.698412698,6.240762121,0.335460915,0.688003876,Medium-Low
Tedhakatti,0.127565462,0.048767086,4.928831353,7.200854701,6.064843027,0.335397503,0.687873823,Medium-Low
Jethrahiya,0.128742584,0.043313209,4.379973535,9.136141636,6.758057585,0.335264954,0.687601976,Medium-Low
Pokhariya,0.096164202,0.071710272,4.845363346,6.065323565,5.455343456,0.33507264,0.687207555,Medium-Low
Basatpur,0.099478157,0.055902232,4.379973535,9.136141636,6.758057585,0.33495998,0.686976498,Medium-Low
Chyama,0.199830094,0.028017752,7.531331947,5.860805861,6.696068904,0.334686373,0.686415352,Medium-Low
SugauliPartewa,0.116172564,0.059100746,4.845363346,6.065323565,5.455343456,0.334584804,0.686207041,Medium-Low
Pacharukhi,0.103452429,0.053349572,4.379973535,9.136141636,6.758057585,0.334116435,0.685246455,Medium-Low
Bhagawatipur,0.133902795,0.044307619,4.208451337,8.351648352,6.280049845,0.333997884,0.685003316,Medium-Low
Kotathar,0.258527241,0.031605828,5.60905413,3.507326007,4.558190069,0.33395553,0.68491645,Medium-Low
ShivaWorga,0.102404868,0.066543442,4.845363346,6.065323565,5.455343456,0.333745937,0.684486591,Medium-Low
Laxminiwas,0.160644521,0.037080208,4.783111544,7.698412698,6.240762121,0.333745359,0.684485407,Medium-Low
BeriyaBirta(Wa. Pu.),0.104690444,0.064995443,4.845363346,6.065323565,5.455343456,0.333583082,0.684152589,Medium-Low
Satiswara,0.175084497,0.040442748,6.434894278,4.044566545,5.239730411,0.333528102,0.684039829,Medium-Low
Sukajor,0.15414483,0.036270328,7.160041941,6.059218559,6.60963025,0.333083053,0.683127069,Medium-Low
Basantpur,0.086937577,0.070039254,4.928831353,7.200854701,6.064843027,0.333009177,0.682975556,Medium-Low
LaxmipurKotwali,0.09934304,0.061253592,4.928831353,7.200854701,6.064843027,0.33293761,0.682828776,Medium-Low
Khare,0.293030716,0.018791269,7.531331947,5.860805861,6.696068904,0.332835564,0.682619489,Medium-Low
Dipahi,0.136140429,0.039940417,4.379973535,9.136141636,6.758057585,0.332460868,0.681851016,Medium-Low
Aurahi,0.102449322,0.057296456,4.783111544,7.698412698,6.240762121,0.332117295,0.681146376,Medium-Low
Anakar,0.097057705,0.058137091,4.32799056,8.623321123,6.475655842,0.331835128,0.680567673,Medium-Low
Yadukush,0.091040171,0.064247073,4.783111544,7.698412698,6.240762121,0.331722309,0.68033629,Medium-Low
SugaVawani,0.080442424,0.069690698,4.32799056,8.623321123,6.475655842,0.331116819,0.679094478,Medium-Low
ItahariN. P.,0.008558893,0.763757967,5.040702255,6.062271062,5.551486659,0.331075885,0.679010527,Medium-Low
Hatpate,0.074398342,0.083099852,5.191504838,6.547619048,5.869561943,0.331072467,0.679003517,Medium-Low
Paterwa,0.114586538,0.050653389,4.783111544,7.698412698,6.240762121,0.330871919,0.678592208,Medium-Low
SugauliBirta,0.104408091,0.063314173,4.845363346,6.065323565,5.455343456,0.330384044,0.677591614,Medium-Low
Narahi,0.121023997,0.04910539,4.928831353,7.200854701,6.064843027,0.330323959,0.677468384,Medium-Low
Fulparasi,0.147700335,0.038156631,4.208451337,8.351648352,6.280049845,0.328325689,0.67337009,Medium-Low
Hawa,0.299166071,0.017643085,7.531331947,5.860805861,6.696068904,0.328172555,0.673056024,Medium-Low
HansapurKathpula,0.105038746,0.053626366,4.783111544,7.698412698,6.240762121,0.327583368,0.671847649,Medium-Low
Mithuawa,0.130047804,0.039960921,4.379973535,9.136141636,6.758057585,0.327481521,0.671638768,Medium-Low
Bishrampur,0.089193812,0.064800662,4.928831353,7.200854701,6.064843027,0.327273803,0.671212756,Medium-Low
PipraBasantapur,0.12897347,0.04474844,4.928831353,7.200854701,6.064843027,0.327114114,0.670885247,Medium-Low
Ayodhyapuri,0.080461787,0.109620863,5.37928052,2.533577534,3.956429027,0.326784983,0.670210224,Medium-Low
Ghodghans,0.09633786,0.05800382,4.783111544,7.698412698,6.240762121,0.326710987,0.670058465,Medium-Low
Bhadsar,0.136104091,0.040719543,4.208451337,8.351648352,6.280049845,0.326496894,0.669619377,Medium-Low
Matiarwa,0.088075991,0.065067205,4.928831353,7.200854701,6.064843027,0.326347095,0.66931215,Medium-Low
Kabahigoth,0.084321661,0.067455838,4.928831353,7.200854701,6.064843027,0.325531301,0.667639022,Medium-Low
Masihani,0.101295426,0.062340267,4.845363346,6.065323565,5.455343456,0.325382004,0.667332825,Medium-Low
Sandha,0.115623765,0.045958134,4.32799056,8.623321123,6.475655842,0.32526032,0.667083262,Medium-Low
Jhatiyahi,0.104846651,0.052385917,4.783111544,7.698412698,6.240762121,0.324839561,0.666220317,Medium-Low
DubarikotHathalekha,0.077512067,0.070469823,4.783111544,7.698412698,6.240762121,0.324242577,0.66499595,Medium-Low
Labatoli,0.103685253,0.052344911,4.783111544,7.698412698,6.240762121,0.323551209,0.663578009,Medium-Low
Bahuari,0.109557003,0.050899428,4.928831353,7.200854701,6.064843027,0.323388226,0.663243744,Medium-Low
Mukhiyapattimushargiya,0.071688903,0.075400865,4.783111544,7.698412698,6.240762121,0.323113645,0.662680599,Medium-Low
Ramnagar,0.04545211,0.159987206,5.60905413,3.507326007,4.558190069,0.321225918,0.658809021,Medium-Low
Ladabhir(Mahendra),0.075835761,0.074078403,5.191504838,6.547619048,5.869561943,0.320669102,0.657667035,Medium-Low
Bhagawanpur,0.09899588,0.054846312,4.928831353,7.200854701,6.064843027,0.320524604,0.657370681,Medium-Low
ParsauniMatha,0.095471748,0.063057882,4.845363346,6.065323565,5.455343456,0.320242365,0.65679183,Medium-Low
Badharwa,0.09564794,0.050735402,4.379973535,9.136141636,6.758057585,0.320088107,0.656475461,Medium-Low
Telkuwa,0.095407673,0.056568589,4.928831353,7.200854701,6.064843027,0.319884163,0.656057186,Medium-Low
Nagaraeen,0.08232362,0.063529458,4.783111544,7.698412698,6.240762121,0.319579621,0.655432596,Medium-Low
Motisar,0.100933352,0.053298314,4.928831353,7.200854701,6.064843027,0.319538047,0.65534733,Medium-Low
Deukhana,0.119662095,0.049884515,4.845363346,6.065323565,5.455343456,0.319336199,0.654933356,Medium-Low
Ramjakot,0.131381258,0.047290848,6.434894278,4.044566545,5.239730411,0.319305565,0.654870528,Medium-Low
Malahi,0.163139263,0.029422227,4.379973535,9.136141636,6.758057585,0.318922611,0.654085119,Medium-Low
BeriyaBirta,0.111054545,0.053441837,4.845363346,6.065323565,5.455343456,0.318722902,0.653675531,Medium-Low
Kudiya,0.06883316,0.103111067,5.60905413,3.507326007,4.558190069,0.318638665,0.653502768,Medium-Low
Madar,0.063865142,0.091752242,3.056886828,7.973137973,5.515012401,0.318524142,0.65326789,Medium-Low
Matsari,0.107898585,0.044317871,4.379973535,9.136141636,6.758057585,0.318521566,0.653262607,Medium-Low
Dumariya,0.107277052,0.047752173,4.208451337,8.351648352,6.280049845,0.318044351,0.652283877,Medium-Low
Bahuarba,0.099105585,0.051955348,4.783111544,7.698412698,6.240762121,0.317923041,0.652035081,Medium-Low
Harine,0.09933409,0.05178107,4.783111544,7.698412698,6.240762121,0.317811047,0.651805389,Medium-Low
KauwabanKataiya,0.117430122,0.050048542,4.845363346,6.065323565,5.455343456,0.317685709,0.651548332,Medium-Low
Lokaha,0.095654877,0.049587217,4.379973535,9.136141636,6.758057585,0.317662718,0.651501179,Medium-Low
Mirjapur,0.107970094,0.047034557,4.208451337,8.351648352,6.280049845,0.317123099,0.650394462,Medium-Low
Bhatauliya,0.103772212,0.04742412,4.32799056,8.623321123,6.475655842,0.317045338,0.65023498,Medium-Low
Khutwajabdi,0.108169215,0.048562053,4.928831353,7.200854701,6.064843027,0.317010338,0.650163199,Medium-Low
LalParsa,0.126853014,0.045906876,4.845363346,6.065323565,5.455343456,0.316713719,0.649554856,Medium-Low
DawanneDevi,0.050208574,0.138766296,5.60905413,3.507326007,4.558190069,0.316678155,0.649481917,Medium-Low
Pritee,0.091995513,0.052211639,7.160041941,6.059218559,6.60963025,0.316643356,0.649410547,Medium-Low
ParsauniBirta,0.11341759,0.051268488,4.845363346,6.065323565,5.455343456,0.316556333,0.649232069,Medium-Low
Salupati,0.129534211,0.03702895,7.160041941,6.059218559,6.60963025,0.316495603,0.649107517,Medium-Low
TulsiyaniJabdi,0.082232297,0.061438122,4.783111544,7.698412698,6.240762121,0.315916755,0.647920346,Medium-Low
Auraha,0.104438036,0.055276882,4.845363346,6.065323565,5.455343456,0.31579708,0.647674902,Medium-Low
Manpang,0.08753066,0.068665533,6.434894278,4.044566545,5.239730411,0.315793107,0.647666755,Medium-Low
Hajminiya,0.098179219,0.047393365,4.379973535,9.136141636,6.758057585,0.315635857,0.647344247,Medium-Low
Parroha,0.022315582,0.262062857,7.805050193,2.945665446,5.375357819,0.315602442,0.647275714,Medium-Low
Raghunathpur,0.097244728,0.052908751,4.928831353,7.200854701,6.064843027,0.31482633,0.645683971,Medium-Low
Chhatawa,0.088663874,0.058024323,4.928831353,7.200854701,6.064843027,0.314817441,0.645665739,Medium-Low
Bindabasini,0.106948004,0.053298314,4.845363346,6.065323565,5.455343456,0.314462901,0.644938606,Medium-Low
Tetariya,0.14695587,0.034886355,4.928831353,7.200854701,6.064843027,0.314451763,0.644915764,Medium-Low
Samjhauta,0.079388286,0.071710272,4.845363346,6.065323565,5.455343456,0.314330578,0.644667221,Medium-Low
DharmaNagar,0.09300593,0.054918074,4.928831353,7.200854701,6.064843027,0.314061838,0.644116057,Medium-Low
Kyamin,0.110399682,0.053441837,6.434894278,4.044566545,5.239730411,0.313848011,0.643677515,Medium-Low
