"","hazard","exposure","housing","poverty","vulnerability","severity","degree"
"243",0.786415721,0.033369112,6.852053081,6.572039072,6.712046076,0.560553738,228
"245",0.003160639,0.025793144,6.752787046,2.478632479,4.615709762,0.072194794,NA
"246",1.362825562,0.127633007,6.434894278,4.044566545,5.239730411,0.969551179,38
"247",0.028871013,0.03528617,7.442214042,0,3.721107021,0.155923975,NA
"248",0.105564358,2.618937048,7.442214042,0,3.721107021,1.009496559,NA
"251",0.044997136,0.017007483,5.97793252,3.199023199,4.58847786,0.151995659,NA
"252",1.270825695,0.061079314,6.441465148,5.213675214,5.827570181,0.767636971,0
"253",1.6140514,0.021641227,6.441465148,5.213675214,5.827570181,0.588250429,112
"254",1.702835846,0.046788518,6.441465148,5.213675214,5.827570181,0.774342675,191
"255",0.859918549,0.045937631,6.441465148,5.213675214,5.827570181,0.612873921,352
"256",0.82721745,0.061673909,6.441465148,5.213675214,5.827570181,0.667425649,99
"257",0.736707023,0.02215381,6.441465148,5.213675214,5.827570181,0.456467905,0
"259",0.665795845,0.023609543,6.441465148,5.213675214,5.827570181,0.450787703,0
"261",0.459980613,0.025731634,6.441465148,5.213675214,5.827570181,0.410107902,35
"262",1.640044583,0.032261934,6.441465148,5.213675214,5.827570181,0.675581663,53
"265",1.678348231,0.064441854,6.441465148,5.213675214,5.827570181,0.857391562,210
"266",2.284419346,0.060412957,6.441465148,5.213675214,5.827570181,0.929960448,0
"267",1.402797895,0.027935739,6.441465148,5.213675214,5.827570181,0.611243507,210
"268",NA,NA,NA,NA,NA,NA,297
"269",1.343034056,0.035368183,6.441465148,5.213675214,5.827570181,0.65172207,235
"271",1.421781467,0.041303887,6.441465148,5.213675214,5.827570181,0.699472149,210
"272",2.398846306,0.051709308,6.441465148,5.213675214,5.827570181,0.897469204,293
"275",2.075939696,0.041344893,6.817638797,5.152625153,5.985131975,0.800884913,217
"276",0.882736004,0.055707451,6.817638797,5.152625153,5.985131975,0.665180157,39
"277",0.843128976,0.054015929,6.817638797,5.152625153,5.985131975,0.648380381,212
"279",0.711892724,0.035757745,5.913504002,5.848595849,5.881049925,0.530982061,NA
"280",0.950821006777778,0.0480528876666667,6.19326055955556,3.87362637377778,5.03344346655556,0.396964721777778,54
"282",0.986649814,0.029022413,5.913504002,5.848595849,5.881049925,0.552226371,NA
"283",0.628338474,0.023281491,5.456937224,7.857142857,6.657040041,0.460074895,0
"284",0.448879836,0.004254434,5.456937224,7.857142857,6.657040041,0.233391125,339
"285",NA,NA,NA,NA,NA,NA,79
"288",0.567562945,0.039407332,5.456937224,7.857142857,6.657040041,0.530018153,99
"289",0.333112774,0.022527995,5.202963802,7.834249084,6.5186064435,0.2503472805,280
"290",2.163262112,0.073176258,6.45603317,3.308913309,4.88247324,0.917711985,159
"291",0.073453036,0.042216283,5.60905413,3.507326007,4.558190069,0.241783908,NA
"296",0.33826678,0.037274989,5.60905413,3.507326007,4.558190069,0.38591332,NA
"300",0.258527241,0.031605828,5.60905413,3.507326007,4.558190069,0.33395553,NA
"308",0.130150423,0.02831505,5.60905413,3.507326007,4.558190069,0.256105229,NA
"311",0.112278075,0.036987943,5.60905413,3.507326007,4.558190069,0.26651144,NA
"314",3.090480669,0.043220945,8.863975701,1.816239316,5.340107508,0.893490821,43
"316",2.726048706,0.048746582,8.863975701,1.816239316,5.340107508,0.891954282,352
"318",3.190890152,0.029299208,8.863975701,1.816239316,5.340107508,0.793303268,NA
"323",1.237535811,0.049125893,8.863975701,1.816239316,5.340107508,0.68728903,56
"325",1.270751741,0.037131466,8.863975701,1.816239316,5.340107508,0.631612821,248
"328",0.74425576,0.042062508,8.863975701,1.816239316,5.340107508,0.55087846,232
"330",0.76433252,0.039110034,6.852053081,6.572039072,6.712046076,0.585430242,268
"331",0.760445633,0.037346751,6.852053081,6.572039072,6.712046076,0.575517641,157
"334",0.98088795,0.029822042,6.852053081,6.572039072,6.712046076,0.581215562,266
"340",0.156548090333333,0.0595962423333333,5.854289762,5.69088319066667,5.77258647633333,0.213522636666667,261
"341",1.579422937,0.04393856,6.852053081,6.572039072,6.712046076,0.775174949,112
"342",1.468674425,0.098180025,6.852053081,6.572039072,6.712046076,0.989163008,102
"345",1.002868788,0.034568554,6.852053081,6.572039072,6.712046076,0.615073128,63
"346",0.957952299,0.0254702175,6.3827785415,6.2103174605,6.2965480005,0.535311064,362
"347",1.448514359,0.022369094,6.852053081,6.572039072,6.712046076,0.601370394,89
"348",1.078118657,0.044830453,6.852053081,6.572039072,6.712046076,0.687118339,99
"349",0.698255225,0.019447375,6.852053081,6.572039072,6.712046076,0.450031972,113
"350",0.677407777,0.025598363,6.852053081,6.572039072,6.712046076,0.488246457,96
"352",0,0.085847294,8.077192371,8.797313797,8.437253084,0,276
"354",0.817151305,0.034312263,6.852053081,6.572039072,6.712046076,0.573062852,293
