"","hazard","exposure","housing","poverty","vulnerability","severity","degree"
"1870",0.483745434,0.022533121,7.531331947,5.860805861,6.696068904,0.417913157,136
"1875",0.553688107,0.016525655,7.531331947,5.860805861,6.696068904,0.394228423,99
"1878",0.459772046,0.036219069,7.531331947,5.860805861,6.696068904,0.481319276,118
"1887",1.764708718,0.020144487,6.441465148,5.213675214,5.827570181,0.591705469,112
"1888",2.479974464,0.034537799,6.441465148,5.213675214,5.827570181,0.793249477,20
"1889",1.818695054,0.082700038,6.817638797,5.152625153,5.985131975,0.965561132,148
"1891",1.996593914,0.044912466,6.817638797,5.152625153,5.985131975,0.812662325,NA
"1892",1.402232721,0.063672981,8.226716181,0.894383394,4.560549788,0.741192176,352
"1894",2.600276383,0.058413886,8.226716181,0.894383394,4.560549788,0.884811862,112
"1896",1.869112795,0.280146763,8.404832734,0.818070818,4.611451776,1.341589333,153
"1898",1.658073326,0.04393856,8.404832734,0.818070818,4.611451776,0.695177553,23
"1899",1.118983897,0.047342107,6.852053081,6.572039072,6.712046076,0.70844931,23
"1906",2.500530327,0.0457223465,5.2882563255,3.705738706,4.496997516,0.5424970315,149
"1907",5.175302562,0.049238661,5.37928052,2.533577534,3.956429027,1.002724872,203
"1911",2.005448284,0.206898743,6.817638797,5.152625153,5.985131975,1.354194411,226
"1922",0.16180129925,0.0295375585,5.22661090175,5.6356837605,5.43114733125,0.15449716375,143
"1925",1.368418515,0.0475300533333333,5.85073376033333,5.31339031366667,5.582062037,0.579074669,192
"1928",0.65463233,0.020472539,5.913504002,5.848595849,5.881049925,0.428753828,250
"1933",0.789950304,0.016218106,5.913504002,5.848595849,5.881049925,0.422362082,30
"1946",0.909898815,0.066943256,8.863975701,1.816239316,5.340107508,0.687727901,30
"1950",1.909456971,0.866951047,8.863975701,1.816239316,5.340107508,2.067687096,290
"1957",2.066138797,0.103910696,8.404832734,0.818070818,4.611451776,0.996672493,114
"1963",4.198212423,0.034947865,6.45603317,3.308913309,4.88247324,0.894763606,106
"1971",2.266774388,0.045701843,6.45603317,3.308913309,4.88247324,0.796759581,149
"1972",2.05954088,0.027515421,6.45603317,3.308913309,4.88247324,0.651621618,34
"1973",1.318517,0.027361646,6.45603317,3.308913309,4.88247324,0.560560653,57
"1978",1.169111963,0.017591827,6.45603317,3.308913309,4.88247324,0.464803051,30
"1980",0.844785933,0.026039184,6.852053081,6.572039072,6.712046076,0.52853813,265
"1991",0.013331066,0.024778231,6.218955197,5.83028083,6.024618014,0.12578289,244
"2089",2.12409912,0.074355197,6.817638797,5.152625153,5.985131975,0.981416329,135
"2093",1.155475598,0.033194834,5.913504002,5.848595849,5.881049925,0.608735618,263
"2103",2.474023715,0.038043863,6.45603317,3.308913309,4.88247324,0.771689833,113
"2104",2.20882226,0.024593702,6.45603317,3.308913309,4.88247324,0.642502537,NA
"2105",1.462617036,0.026285223,6.852053081,6.572039072,6.712046076,0.636647556,58
"2108",1.175523672,0.040668284,6.852053081,6.572039072,6.712046076,0.684616539,155
"2111",1.330488958,0.054877067,6.852053081,6.572039072,6.712046076,0.788410439,63
"2114",1.277102276,0.061376612,6.852053081,6.572039072,6.712046076,0.807286777,30
"2126",2.606628105,0.110574267,6.817638797,5.152625153,5.985131975,1.199321513,63
"2141",1.647367051,0.0450201085,7.2638986735,6.369047619,6.8164731465,0.5346183125,23
"2151",0.418680771,0.009964601,5.456937224,7.857142857,6.657040041,0.302836371,113
"2201",0.387832996,0.00889843,5.456937224,7.857142857,6.657040041,0.284280083,130
"2206",0.512546984,0.018504223,5.456937224,7.857142857,6.657040041,0.398194481,248
"2379",1.497515109,0.054641279,5.913504002,5.848595849,5.881049925,0.783638287,44
"2389",1.344034258,0.038218141,5.913504002,5.848595849,5.881049925,0.670983107,23
"2419",2.264279392,0.274231562,5.913504002,5.848595849,5.881049925,1.539929265,294
"2466",0.689295621,0.018688753,6.441465148,5.213675214,5.827570181,0.421849738,49
"2469",2.03014679,0.031749351,6.441465148,5.213675214,5.827570181,0.721522596,23
"2474",1.076531155,0.048941364,8.863975701,1.816239316,5.340107508,0.655265883,79
"2476",2.600259253,0.029555499,8.404832734,0.818070818,4.611451776,0.707670141,353
"2482",3.121391083,0.022256326,8.404832734,0.818070818,4.611451776,0.684247329,23
"2490",1.536557497,0.022850922,6.441465148,5.213675214,5.827570181,0.589268667,19
"2491",1.757434287,0.039663623,6.441465148,5.213675214,5.827570181,0.740604471,71
"2497",1.873839023,0.044358877,6.441465148,5.213675214,5.827570181,0.785356386,350
"2498",0.628157728,0.019037309,6.441465148,5.213675214,5.827570181,0.411516505,230
"2502",0.64762618,0.03329735,6.441465148,5.213675214,5.827570181,0.500887884,52
"2503",1.214067038,0.038740975,6.441465148,5.213675214,5.827570181,0.649581391,4
"2514",2.438767827,0.051545282,6.441465148,5.213675214,5.827570181,0.901465194,35
"2516",2.253458196,0.02365055,6.441465148,5.213675214,5.827570181,0.67721425,84
"2519",1.4501728295,0.042616097,5.949201186,6.5354090355,6.242305111,0.6990636835,85
"2522",3.480341977,0.332901739,6.441465148,5.213675214,5.827570181,1.890058147,126
"2523",3.343877573,0.025598363,4.990112867,3.644688645,4.317400756,0.717620729,243
"2524",3.538183465,0.013111857,4.990112867,3.644688645,4.317400756,0.585089498,25
"2525",1.6418567205,0.0379874785,5.604534032,4.7374847375,5.171009385,0.4682130095,58
"2526",3.044861862,0.046378452,4.990112867,3.644688645,4.317400756,0.847947053,140
"2527",2.852186442,0.043661765,4.990112867,3.644688645,4.317400756,0.813143488,30
"2528",3.313484195,0.055768961,4.990112867,3.644688645,4.317400756,0.927470146,226
"2529",3.386709807,0.03043714,4.990112867,3.644688645,4.317400756,0.763486565,58
"2530",3.581679339,0.051555534,4.990112867,3.644688645,4.317400756,0.927245606,247
"2531",3.765298735,0.078681392,4.990112867,3.644688645,4.317400756,1.085503627,210
"2532",4.285668869,0.031482809,4.990112867,3.644688645,4.317400756,0.835163453,216
"2533",2.168003552,0.072181848,4.990112867,3.644688645,4.317400756,0.877479103,163
"2534",2.606765487,0.080331907,4.990112867,3.644688645,4.317400756,0.96695026,263
"2535",1.625590662,0.038207889,4.828609503,4.3452380955,4.586923799,0.486640178,251
"2536",3.291727055,0.086513651,4.990112867,3.644688645,4.317400756,1.071297947,158
"2537",3.934257645,0.057439979,4.990112867,3.644688645,4.317400756,0.991820647,112
"2538",NA,NA,NA,NA,NA,NA,58
"2539",3.178735041,0.068860314,4.990112867,3.644688645,4.317400756,0.98133035,25
"2540",3.303378311,0.090378522,4.990112867,3.644688645,4.317400756,1.088300018,237
"2541",3.216067328,0.04841853,4.990112867,3.644688645,4.317400756,0.876031449,66
"2543",1.801936158,0.03137004,4.828609503,4.3452380955,4.586923799,0.4341772985,NA
"2544",0.455618499,0.175159644,4.990112867,3.644688645,4.317400756,0.701055803,58
"2545",1.29618551,0.204868917,4.990112867,3.644688645,4.317400756,1.046618802,37
"2548",1.752231893,0.086021572,4.990112867,3.644688645,4.317400756,0.866576895,136
"2549",0.393148173,0.188784083,4.990112867,3.644688645,4.317400756,0.6843023,306
"2550",0.81134154,0.175610716,4.990112867,3.644688645,4.317400756,0.850470061,95
"2551",2.757743609,0.021374684,4.990112867,3.644688645,4.317400756,0.633712082,222
"2552",1.379838065,0.0594698055,7.466916975,3.4752747255,5.47109585,0.448174566,126
"2553",3.59038097,0.03435327,4.990112867,3.644688645,4.317400756,0.81054474,58
"2555",1.001755004,0.106289078,4.990112867,3.644688645,4.317400756,0.77177524,NA
"2556",0.501299553,0.060946043,4.990112867,3.644688645,4.317400756,0.509043696,NA
"2557",0.675472085,0.067814646,4.990112867,3.644688645,4.317400756,0.582618704,86
"2558",1.005026131,0.212690924,4.990112867,3.644688645,4.317400756,0.973605215,243
"2559",1.091223112,0.131282594,4.990112867,3.644688645,4.317400756,0.85201588,136
"2560",0.211799034,0.0800038546666667,5.501684888,4.54619454633333,5.02393971733333,0.295399142666667,NA
"2561",0.326123023,0.146332012,4.990112867,3.644688645,4.317400756,0.590628486,238
"2562",1.28204224,0.070797875,4.990112867,3.644688645,4.317400756,0.731781862,101
"2563",1.902795191,0.036137056,4.990112867,3.644688645,4.317400756,0.667097112,60
"2565",2.666872977,0.043774533,4.990112867,3.644688645,4.317400756,0.795821021,258
"2566",1.038322648,0.868017219,4.990112867,3.644688645,4.317400756,1.572875485,NA
"2578",2.436348346,0.078804412,6.817638797,5.152625153,5.985131975,1.047420852,230
"2581",2.984717642,0.11320894,6.817638797,5.152625153,5.985131975,1.264598229,57
"2582",2.883998587,0.061571393,6.817638797,5.152625153,5.985131975,1.020506835,112
"2583",3.499847102,0.102875279,6.817638797,5.152625153,5.985131975,1.291649292,30
"2586",2.50826563133333,0.0553161796666667,7.02957267533333,5.08954008966667,6.05955638266667,0.615580751666667,15
"2590",3.490651935,0.073709343,6.817638797,5.152625153,5.985131975,1.154784483,225
"2592",3.116678765,0.099615256,6.817638797,5.152625153,5.985131975,1.229411324,55
"2594",3.565999035,0.051360752,6.817638797,5.152625153,5.985131975,1.031087313,126
"2615",1.511108936,0.038259147,6.817638797,5.152625153,5.985131975,0.702050356,192
"2620",1.173992542,0.054190207,5.913504002,5.848595849,5.881049925,0.720576904,237
"2621",2.507119602,0.020026593,6.184768586,4.578754579,5.3817615825,0.604360366,NA
"2622",0.742160038,0.029452982,5.913504002,5.848595849,5.881049925,0.504692948,NA
"2623",2.408822634,0.0441179635,5.646392261,4.1910866915,4.918739476,0.752428554,122
"2626",0.943838808,0.020257255,5.913504002,5.848595849,5.881049925,0.482663468,7
"2627",0.5051184395,0.0740476475,3.5414435025,6.257631258,4.89953738,0.4453560395,317
"2629",0.947051848,0.021702737,5.913504002,5.848595849,5.881049925,0.494440887,113
"2631",1.771130141,0.05364687,5.913504002,5.848595849,5.881049925,0.823663666,112
"2632",1.488719427,0.063211657,5.913504002,5.848595849,5.881049925,0.821022321,5
"2633",1.54660007,0.035173401,5.913504002,5.848595849,5.881049925,0.683936456,281
"2634",1.570070336,0.055553676,5.913504002,5.848595849,5.881049925,0.800501701,263
"2635",1.783167761,0.030191101,5.913504002,5.848595849,5.881049925,0.681567186,117
"2636",1.063816866,0.054692538,5.913504002,5.848595849,5.881049925,0.69943915,NA
"2637",0.916847051,0.045927379,5.913504002,5.848595849,5.881049925,0.627973246,NA
"2638",1.126867705,0.0164949,5.913504002,5.848595849,5.881049925,0.4781445,NA
"2641",0.648401794,0.041150112,5.913504002,5.848595849,5.881049925,0.539374029,NA
"2642",0.722449026,0.024716721,5.913504002,5.848595849,5.881049925,0.471792442,NA
"2643",0.687316907,0.036229321,5.913504002,5.848595849,5.881049925,0.527097185,112
"2645",1.020690544,0.046778266,5.913504002,5.848595849,5.881049925,0.654833706,114
"2647",2.4550068955,0.0506328855,5.646392261,4.1910866915,4.918739476,0.806510846,138
"2650",0.500248648,0.035332302,6.17419914,4.946581197,5.560390168,0.3992519305,266
"2652",0.812499644,0.035234911,5.913504002,5.848595849,5.881049925,0.552183904,37
"2653",0.718351399,0.032600238,5.913504002,5.848595849,5.881049925,0.516421355,NA
"2654",0.475063383,0.033205085,6.0662295995,5.8394383395,5.9528339695,0.3659829735,228
"2655",0.751753879,0.025485595,5.913504002,5.848595849,5.881049925,0.482994042,4
"2658",0.450265373,0.036070421,7.9286125425,4.5772283275,6.2529204345,0.2881139755,4
"2659",0.432619437,0.0239273445,5.3846895125,7.206959707,6.2958246095,0.2694775615,NA
"2660",0.833922522,0.031298279,5.913504002,5.848595849,5.881049925,0.535427091,247
"2661",0.879687055,0.021374684,5.913504002,5.848595849,5.881049925,0.47998492,NA
"2664",1.155824555,0.033194834,5.913504002,5.848595849,5.881049925,0.608796891,NA
"2665",0.839373981,0.030508902,5.913504002,5.848595849,5.881049925,0.532041671,NA
"2666",1.543366718,0.078527617,5.913504002,5.848595849,5.881049925,0.893268747,221
"2667",NA,NA,NA,NA,NA,NA,273
"2668",1.209412884,0.080998264,5.913504002,5.848595849,5.881049925,0.832086335,108
"2670",0.583544633,0.0493206745,7.108397312,5.3052503055,6.2068238085,0.4303460105,273
"2672",2.006327066,0.036239573,5.913504002,5.848595849,5.881049925,0.753378501,112
"2674",1.141997021,0.025465092,6.852053081,6.572039072,6.712046076,0.580080653,169
"2675",1.058868627,0.048715827,6.852053081,6.572039072,6.712046076,0.70219171,108
"2678",0.63636396,0.025434337,6.852053081,6.572039072,6.712046076,0.477155909,113
"2682",0.497607341,0.02701309,6.852053081,6.572039072,6.712046076,0.448509858,NA
"2684",0.563356772,0.036403599,6.852053081,6.572039072,6.712046076,0.516330275,151
"2693",0.80438333,0.028468824,6.852053081,6.572039072,6.712046076,0.53566817,229
"2694",0.777463871,0.039438087,6.852053081,6.572039072,6.712046076,0.590405409,40
"2697",0.899597778,0.035583467,6.852053081,6.572039072,6.712046076,0.598940742,63
"2698",1.340957844,0.039007518,6.852053081,6.572039072,6.712046076,0.705460641,62
"2700",1.282912499,0.046398955,6.852053081,6.572039072,6.712046076,0.736523693,330
"2705",1.155993362,0.035296421,6.852053081,6.572039072,6.712046076,0.649402039,126
"2707",0.931551374,0.037213479,6.852053081,6.572039072,6.712046076,0.615064515,58
"2708",0.3823745405,0.0454096715,5.9258403285,5.2655677655,5.595704047,0.3579117585,58
"2719",1.085528609,0.021682234,6.852053081,6.572039072,6.712046076,0.540588424,123
"2721",0.14217859825,0.05780006825,6.301705261875,6.23015873,6.265931996,0.1061540595,14
"2725",0.588162042,0.02999632,6.852053081,6.572039072,6.712046076,0.491066112,NA
"2731",0.534117902,0.041273132,6.852053081,6.572039072,6.712046076,0.528915745,164
"2735",0.945653171,0.042349555,7.531331947,5.860805861,6.696068904,0.644862141,7
"2737",0.906972139,0.044471645,7.531331947,5.860805861,6.696068904,0.646396535,48
"2738",NA,NA,NA,NA,NA,NA,5
"2739",1.35634661,0.030242359,7.531331947,5.860805861,6.696068904,0.650033026,97
"2740",0.980579961,0.038320657,7.531331947,5.860805861,6.696068904,0.631313813,19
"2741",0.927834536,0.0226510145,6.7546322335,4.52991453,5.642273382,0.4901205565,219
"2747",0.569443253,0.047926451,7.531331947,5.860805861,6.696068904,0.567477366,141
"2748",0.607790332,0.028356056,7.531331947,5.860805861,6.696068904,0.486862707,310
"2749",0.560237682,0.05066364,7.531331947,5.860805861,6.696068904,0.574949288,257
"2752",0.600654565,0.035234911,7.531331947,5.860805861,6.696068904,0.521361903,257
"2757",0.451238775,0.021507956,7.531331947,5.860805861,6.696068904,0.402045452,42
"2758",0.882665248,0.043364468,7.531331947,5.860805861,6.696068904,0.635209016,82
"2759",2.2957344535,0.041811343,6.260722407,4.752747253,5.50673483,0.768023986,5
"2760",0.760548347,0.037982353,7.531331947,5.860805861,6.696068904,0.578330639,5
"2765",0.603401356,0.036557374,7.531331947,5.860805861,6.696068904,0.528607996,113
"2766",0.153045956,0.0738221115,6.646578886,4.275030525,5.4608047055,0.229241355,273
"2770",0.199830094,0.028017752,7.531331947,5.860805861,6.696068904,0.334686373,297
"2774",0.445746899,0.039796894,7.531331947,5.860805861,6.696068904,0.491570496,263
"2775",0.318815341,0.047536888,7.531331947,5.860805861,6.696068904,0.466440899,46
"2776",0.188509889,0.013040095,7.531331947,5.860805861,6.696068904,0.254377252,115
"2777",0.10773381,0.019139825,7.531331947,5.860805861,6.696068904,0.239903528,26
"2778",0.722718798,0.050704647,7.531331947,5.860805861,6.696068904,0.62605479,35
"2784",1.192156758,0.036055043,7.160041941,6.059218559,6.60963025,0.657393668,126
"2786",0.7017526,0.058772693,7.160041941,6.059218559,6.60963025,0.648403867,40
"2787",1.183924097,0.037233983,7.160041941,6.059218559,6.60963025,0.66294908,212
"2789",1.196258408,0.033553641,7.160041941,6.059218559,6.60963025,0.642560377,126
"2791",0.641773729,0.030836955,7.160041941,6.059218559,6.60963025,0.507625614,NA
"2795",0.683939415,0.0280587585,6.689498569,5.9447496945,6.317124132,0.356820445,313
"2797",1.94958418,0.033348608,7.160041941,6.059218559,6.60963025,0.754626914,126
"2799",1.979184811,0.035204156,7.160041941,6.059218559,6.60963025,0.772240342,126
"2801",1.206149173,0.065528529,7.160041941,6.059218559,6.60963025,0.805383761,126
"2803",1.980589159,0.023507027,7.160041941,6.059218559,6.60963025,0.675133653,126
"2805",1.633328852,0.019590898,7.160041941,6.059218559,6.60963025,0.595801665,126
"2807",1.527507352,0.040237715,7.160041941,6.059218559,6.60963025,0.740624252,126
"2808",0.521663462666667,0.107949844666667,4.539869427,4.58282458266667,4.561347005,0.423368580666667,40
"2809",1.605337854,0.041672946,7.160041941,6.059218559,6.60963025,0.7618438,126
"2810",1.422114028,0.031072743,7.160041941,6.059218559,6.60963025,0.663483904,126
"2811",1.505043438,0.048203245,7.160041941,6.059218559,6.60963025,0.782709897,126
"2812",1.537146428,0.031503312,7.160041941,6.059218559,6.60963025,0.684042164,126
"2813",1.665400901,0.047506133,7.160041941,6.059218559,6.60963025,0.805653962,126
"2815",0.206027001,0.04300566,7.160041941,6.059218559,6.60963025,0.388337182,126
"2817",0.2000196,0.021507956,7.160041941,6.059218559,6.60963025,0.305222317,126
"2818",0.144466912,0.040811807,7.160041941,6.059218559,6.60963025,0.339034422,126
"2820",0.120643666,0.03771581,7.160041941,6.059218559,6.60963025,0.310981851,316
"2822",0.214221009,0.043856547,7.160041941,6.059218559,6.60963025,0.395996383,117
"2824",0.14349688,0.045958134,7.160041941,6.059218559,6.60963025,0.351933551,126
"2826",0.100012439,0.025044774,7.160041941,6.059218559,6.60963025,0.254868463,40
"2827",0.128973612,0.045353287,7.160041941,6.059218559,6.60963025,0.338139261,126
"2828",0.048567154,0.027956242,7.160041941,6.059218559,6.60963025,0.207809886,313
"2830",0.063683508,0.025280562,7.160041941,6.059218559,6.60963025,0.219953202,40
"2832",0.107759144,0.02695158,7.160041941,6.059218559,6.60963025,0.267755568,218
"2834",0.042404695,0.032231179,7.160041941,6.059218559,6.60963025,0.208267945,313
"2836",0.071230622,0.029483737,7.160041941,6.059218559,6.60963025,0.240330457,162
"2838",0.091995513,0.052211639,7.160041941,6.059218559,6.60963025,0.316643356,313
"2839",0.041502676,0.0188784085,5.91357404,5.5525030525,5.733038546,0.138023783,313
"2840",0.082086211,0.024614205,7.160041941,6.059218559,6.60963025,0.237252645,313
"2842",0.082457259,0.051852831,7.160041941,6.059218559,6.60963025,0.304597391,126
"2844",0.056242792,0.024624457,7.160041941,6.059218559,6.60963025,0.209188062,313
"2846",0.05986448,0.024009358,7.160041941,6.059218559,6.60963025,0.211791718,126
"2848",0.043710121,0.096515841,5.96126360733333,4.78225478233333,5.371759195,0.216981457,313
"2849",0.064727081,0.043548997,7.160041941,6.059218559,6.60963025,0.265102474,126
"2851",NA,NA,NA,NA,NA,NA,126
"2852",0.283843198,0.053534102,7.160041941,6.059218559,6.60963025,0.46483133,313
"2854",0.825695268,0.045794108,4.2015780065,5.88980464,5.0456913235,0.4178919835,38
"2855",2.371666698,0.048254503,5.191504838,6.547619048,5.869561943,0.875788151,40
"2856",1.535149367,0.02458345,5.191504838,6.547619048,5.869561943,0.605061778,207
"2862",2.285829433,0.054713041,5.191504838,6.547619048,5.869561943,0.902083602,38
"2865",7.100648031,0.096057934,5.191504838,6.547619048,5.869561943,1.587860357,112
"2867",NA,NA,NA,NA,NA,NA,112
"2868",0.743526321,0.018514475,5.191504838,6.547619048,5.869561943,0.432319155,204
"2869",2.456111373,0.045261022,5.191504838,6.547619048,5.869561943,0.867346643,207
"2870",0.073112988,0.03504013,5.191504838,6.547619048,5.869561943,0.246824715,NA
"2873",0.170533692,0.039427835,5.191504838,6.547619048,5.869561943,0.340465365,NA
"2875",0.260998397,0.042739117,5.191504838,6.547619048,5.869561943,0.403047618,204
"2876",0.488400927,0.028919897,5.191504838,6.547619048,5.869561943,0.436039971,204
"2877",0.065589607,0.029319711,5.191504838,6.547619048,5.869561943,0.224319383,204
"2878",0.152408263,0.020903109,5.191504838,6.547619048,5.869561943,0.265424919,204
"2881",0.030136575,0.041765211,5.191504838,6.547619048,5.869561943,0.194762237,NA
"2882",0.052901327,0.078097048,5.191504838,6.547619048,5.869561943,0.289446937,NA
"2883",0.052282499,0.04811098,5.191504838,6.547619048,5.869561943,0.245321387,NA
"2887",0.015041779,0.022502366,5.191504838,6.547619048,5.869561943,0.125712275,204
"2893",1.8638071705,0.0462400545,6.6295519725,5.1831501835,5.906351078,0.7962624,NA
"2957",0.2464709225,0.0326514965,5.847228541,4.7565628815,5.3018957115,0.2524506125,114
"2963",0.630262981,0.035983282,6.852053081,6.572039072,6.712046076,0.533940051,116
"2970",0.050723351,0.040155702,6.434894278,4.044566545,5.239730411,0.220168255,26
"2971",0.194383202,0.029165936,6.434894278,4.044566545,5.239730411,0.309704749,26
"2972",0.940467294,0.135065452,6.434894278,4.044566545,5.239730411,0.873103317,2
"2973",0.175084497,0.040442748,6.434894278,4.044566545,5.239730411,0.333528102,81
"2974",0.007084071,0.013655194,7.442214042,0,3.721107021,0.071135159,30
"2975",0.011045636,0.017725098,7.442214042,0,3.721107021,0.089980938,NA
"2976",0.020973264,0.032077404,7.442214042,0,3.721107021,0.135783126,37
"2977",0.032135199,0.036875175,7.442214042,0,3.721107021,0.163981837,54
"2978",0.041603623,0.075769924,7.442214042,0,3.721107021,0.227213111,30
"2979",0.041246317,0.041283383,7.442214042,0,3.721107021,0.185045079,82
"2980",0.050648058,0.03068318,7.442214042,0,3.721107021,0.179492005,30
"2981",NA,NA,NA,NA,NA,NA,262
"2982",0.050493864,0.028345804,7.442214042,0,3.721107021,0.174635763,297
"2992",1.657387111,0.123501594,8.863975701,1.816239316,5.340107508,1.030106608,281
"2995",1.55273756,0.101245268,8.226716181,0.894383394,4.560549788,0.895014348,245
"2996",1.242085406,0.058321621,8.226716181,0.894383394,4.560549788,0.691299244,32
"2997",1.181105991,0.1030495575,7.174439365,2.106227106,4.6403332355,0.602984099,32
"2998",1.373191481,0.061161327,8.404832734,0.818070818,4.611451776,0.728923398,338
"3001",2.722536991,0.011963672,8.404832734,0.818070818,4.611451776,0.531567788,70
"3018",2.374845794,0.040904072,6.441465148,5.213675214,5.827570181,0.827236759,134
"3040",0.881658813,0.040350483,7.160041941,6.059218559,6.60963025,0.617223074,26
"3042",0.20690915,0.048346768,7.160041941,6.059218559,6.60963025,0.404366128,26
"3053",0.318510876,0.009513529,6.441465148,5.213675214,5.827570181,0.260406089,46
"3072",2.039918069,0.056599344,6.817638797,5.152625153,5.985131975,0.884095713,170
"3086",0.3760079555,0.039699504,6.104862135,5.167887668,5.6363749015,0.3656815515,40
"3099",1.596860699,0.045609578,8.863975701,1.816239316,5.340107508,0.729946499,146
"3100",1.038395618,0.026162204,8.863975701,1.816239316,5.340107508,0.525447169,141
"3114",2.146729722,0.056476324,8.226716181,0.894383394,4.560549788,0.82076784,317
"3115",1.7060904,0.199876365,8.226716181,0.894383394,4.560549788,1.158582314,100
"3124",1.274947381,0.202172734,8.404832734,0.818070818,4.611451776,1.059296423,152
"3135",2.650019057,0.019016806,8.404832734,0.818070818,4.611451776,0.614810691,288
"3139",3.27471188,0.019252593,8.404832734,0.818070818,4.611451776,0.66247069,118
"3142",3.19887419,0.02265614,8.404832734,0.818070818,4.611451776,0.69396929,281
"3144",3.521850488,0.018842528,8.404832734,0.818070818,4.611451776,0.673880022,91
"3148",3.615802921,0.021087638,8.404832734,0.818070818,4.611451776,0.705813762,17
"3161",1.4202399,0.031380292,6.45603317,3.308913309,4.88247324,0.601477687,250
"3211",0.58452745,0.038751226,6.852053081,6.572039072,6.712046076,0.53372199,148
"3251",0.076932088,0.030990729,7.160041941,6.059218559,6.60963025,0.250710291,40
"3254",0.004206218,0.025885409,4.999627576,3.959096459,4.479362018,0.078714423,50
"3258",0.005527183,0.05980811,1.908867654,3.058608059,2.483737856,0.093638956,40
"3262",0.016718847,0.022317836,1.908867654,3.058608059,2.483737856,0.097496282,40
"3263",0.00645264833333333,0.0419018993333333,5.27932713366667,5.49145299133333,5.38539006266667,0.0840673233333333,40
"3272",2.179732734,0.050304833,6.45603317,3.308913309,4.88247324,0.811990489,40
"3276",0.050675075,0.026890071,7.442214042,0,3.721107021,0.171798552,57
"3278",0.225322647,0.068839811,5.97793252,3.199023199,4.58847786,0.414417148,20
"3285",2.971618107,0.137054271,6.817638797,5.152625153,5.985131975,1.345818314,115
"3341",1.297677922,0.044420387,8.863975701,1.816239316,5.340107508,0.675201013,142
"3385",0.011094184,0.314766575,5.197232131,4.877899878,5.037566005,0.260076776,263
"3388",1.438416714,0.024480933,8.863975701,1.816239316,5.340107508,0.572911533,278
"3392",2.109987101,0.048121232,6.441465148,5.213675214,5.827570181,0.839527029,252
"3399",1.721063411,0.076969367,8.863975701,1.816239316,5.340107508,0.891021662,113
"3486",0.459759929,0.01412677,5.456937224,7.857142857,6.657040041,0.350982167,212
"3504",1.710453256,0.496825577,8.863975701,1.816239316,5.340107508,1.655598606,157
"3532",NA,NA,NA,NA,NA,NA,304
"3533",3.030712935,0.019314103,8.404832734,0.818070818,4.611451776,0.646277458,113
"3537",4.430373269,0.021077387,8.404832734,0.818070818,4.611451776,0.755147143,136
"3541",3.066764746,0.015479987,8.404832734,0.818070818,4.611451776,0.602693134,121
"3584",0.88224568,0.016525655,5.97793252,3.199023199,4.58847786,0.405949761,371
"3588",0.028619936,0.029658015,5.97793252,3.199023199,4.58847786,0.157335405,163
"3592",0.943897883,0.051371004,5.97793252,3.199023199,4.58847786,0.605950622,113
"3597",0.881627835,0.022451107,5.97793252,3.199023199,4.58847786,0.449500901,286
"3598",0.674681884,0.035183653,6.025259639,4.3605006105,5.192880125,0.4075540275,151
"3631",0.627795013,0.023435265,6.852053081,6.572039072,6.712046076,0.462218747,178
"3634",0.526750295,0.033881694,6.852053081,6.572039072,6.712046076,0.492956137,153
"3661",0.019452761,0.040873317,6.218955197,5.83028083,6.024618014,0.168571267,212
"3663",0.01038572,0.028325301,6.218955197,5.83028083,6.024618014,0.12101714,113
"3665",0.017323962,0.034906859,6.218955197,5.83028083,6.024618014,0.153873028,113
"3671",0.026525732,0.015920808,6.218955197,5.83028083,6.024618014,0.136517188,263
"3677",0.032796043,0.035809004,6.218955197,5.83028083,6.024618014,0.191976351,263
"3679",0.020432055,0.016218106,6.218955197,5.83028083,6.024618014,0.125915897,147
"3729",2.407310798,0.050397098,6.45603317,3.308913309,4.88247324,0.839832197,94
"3769",2.383011036,0.035573216,6.45603317,3.308913309,4.88247324,0.745240332,263
"3879",1.25318039,0.017745601,6.45603317,3.308913309,4.88247324,0.477069216,204
"3881",1.165651061,0.011902162,6.45603317,3.308913309,4.88247324,0.407641229,296
"3882",1.851647836,0.018053151,6.45603317,3.308913309,4.88247324,0.546491935,140
"3884",1.836202003,0.072786695,6.45603317,3.308913309,4.88247324,0.867369426,265
"3888",2.148314278,0.021354181,6.45603317,3.308913309,4.88247324,0.607305017,183
"3890",1.307890086,0.015469736,6.45603317,3.308913309,4.88247324,0.462272441,55
"3891",1.053788341,0.022932935,6.45603317,3.308913309,4.88247324,0.490475854,119
"3985",2.076607661,0.050981441,5.191504838,6.547619048,5.869561943,0.853343892,113
"3989",0.52342905,0.023558285,5.191504838,6.547619048,5.869561943,0.416743719,113
"4196",1.195410174,0.103459623,8.404832734,0.818070818,4.611451776,0.829293963,114
"4217",1.32492291,0.034558303,6.852053081,6.572039072,6.712046076,0.674837665,8
"4254",1.32868159,0.034783839,6.817638797,5.152625153,5.985131975,0.651564459,51
"4263",1.485695165,0.054374737,5.913504002,5.848595849,5.881049925,0.780298157,5
"4289",1.325008745,0.137495092,8.863975701,1.816239316,5.340107508,0.990874489,209
"4371",1.194983658,0.033563893,6.852053081,6.572039072,6.712046076,0.645698445,260
